,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
400,3482,1299
401,3466,1286
402,3265,1194
403,2962,1128
404,2790,1119
405,2376,947
406,2597,1007
407,2966,1139
408,3025,1199
409,3288,1242
410,3409,1249
411,3466,1286
412,3863,1383
413,4061,1395
414,4016,1368
415,4204,1466
416,4250,1527
417,4200,1582
418,4309,1538
419,4271,1528
420,4319,1551
421,4380,1569
422,4405,1556
423,4368,1559
424,4242,1501
425,4130,1529
426,4056,1488
427,4134,1460
428,4037,1471
429,4108,1317
430,3953,1471
431,3759,1374
432,3660,1329
433,3510,1347
434,3343,1242
435,3023,1206
436,2773,1107
437,2375,1043
438,2473,954
439,2937,1057
440,3118,1150
441,3440,1192
442,3499,1211
443,3597,1378
444,3731,1390
445,4049,1328
446,4086,1327
447,4016,1561
448,4277,1525
449,4284,1510
450,4333,1450
451,4386,1460
452,4565,1515
453,4564,1536
454,4445,1529
455,4397,1584
456,4240,1430
457,4357,1561
458,4309,1529
459,4287,1520
460,4132,1457
461,4067,1444
462,3929,1458
463,3832,1402
464,3640,1347
465,3457,1196
466,3240,1198
467,3132,1152
468,2719,1043
469,2362,964
470,2458,1022
471,2648,1109
472,3080,1211
473,3397,1213
474,3503,1241
475,3645,1285
476,3800,1327
477,3954,1462
478,4051,1488
479,4077,1450
480,4203,1553
481,4376,1530
482,4344,1573
483,4413,1424
484,4250,1504
485,4255,1503
486,4238,1531
487,4303,1591
488,4341,1480
489,4306,1462
490,4329,1414
491,4208,1374
492,4250,1531
493,3991,1440
494,3986,1436
495,3947,1349
496,3544,1269
497,3398,1248
498,3208,1262
499,2917,1160
500,2554,1081
501,2346,988
502,2838,1053
503,3024,1155
504,3222,1256
505,3376,1282
506,3544,1246
507,3617,1340
508,3792,1400
509,4035,1499
510,3953,1425
511,4191,1395
512,4175,1544
513,4149,1503
514,4214,1511
515,4091,1444
516,4402,1441
517,4365,1486
518,4305,1591
519,4270,1467
520,4265,1518
521,4223,1400
522,4115,1447
523,4141,1496
524,4047,1496
