,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
0,691,1513
1,697,1582
2,657,1663
3,685,1714
4,706,1680
5,655,1733
6,643,1581
7,669,1654
8,683,1765
9,677,1935
10,684,1958
11,745,2038
12,711,2093
13,694,2005
14,758,2100
15,702,2075
16,652,1920
17,679,1737
18,666,1548
19,686,1385
20,649,1780
21,696,2029
22,731,2138
23,696,2151
24,738,2235
25,765,2468
26,710,2545
27,733,2500
28,746,2492
29,774,2440
30,682,2196
31,707,2121
32,751,1998
33,718,1758
34,701,1572
35,638,1554
36,750,1802
37,748,1998
38,699,2237
39,734,2460
40,776,2508
41,742,2691
42,736,2883
43,810,2784
44,791,2866
45,741,2886
46,749,2831
47,754,2669
48,816,2566
49,721,2360
50,709,2070
51,713,1810
52,678,1608
53,666,1544
54,675,1838
55,716,2146
56,739,2320
57,684,2627
58,742,2669
59,755,2693
60,791,2982
61,771,2975
62,736,3078
63,745,3157
64,733,3084
65,768,2877
66,765,3112
67,705,2886
68,675,2633
69,749,2426
70,689,2222
71,689,2008
72,642,1646
73,658,1510
74,703,1786
75,731,2108
76,735,2408
77,741,2476
78,824,2789
79,794,2952
80,763,3147
81,767,3436
82,732,3394
83,803,3372
84,832,3381
85,755,3616
86,746,3494
87,801,3364
88,810,3187
89,742,3009
90,812,2688
91,756,2403
92,730,2164
93,657,1780
94,663,1537
95,656,1719
96,730,1971
97,742,2297
98,729,2564
99,775,2919
100,770,3171
101,804,3424
102,785,3507
103,842,3681
104,813,3670
105,728,3725
106,892,3730
107,823,3838
108,781,3601
109,783,3483
110,779,3306
111,769,3229
112,757,3117
113,765,2855
114,756,2561
115,723,2128
116,716,1685
117,697,1649
118,732,1826
119,748,2199
120,784,2523
121,796,2950
122,748,3194
123,813,3246
124,844,3433
125,811,3507
126,789,3703
127,875,3953
128,804,3832
129,822,3964
130,836,4001
131,781,3939
132,722,3809
133,812,3547
134,813,3451
135,815,3194
136,762,2908
137,744,2701
138,679,2384
139,706,2037
140,642,1580
141,733,1671
142,726,1994
143,742,2381
144,799,2589
145,774,2836
146,802,3246
147,875,3372
148,854,3650
149,830,3660
150,760,3826
151,828,3993
152,914,4069
153,782,4143
154,864,4003
155,827,3950
156,777,3991
157,799,3852
158,822,3648
159,768,3432
160,773,3157
161,700,2925
162,721,2602
163,748,2240
164,680,1780
165,631,1457
166,742,1773
167,708,2120
168,752,2463
169,797,2880
170,790,3069
171,799,3399
172,769,3486
173,864,3811
174,760,4001
175,817,4112
176,836,4200
177,793,4203
178,859,4318
179,849,4163
180,917,4221
181,807,4000
182,765,3906
183,826,3665
184,758,3644
185,800,3404
