,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
489,1062,856
490,944,802
491,1054,802
492,1049,852
493,978,813
494,944,878
495,981,767
496,960,822
497,917,830
498,880,803
499,950,729
500,782,750
501,866,756
502,795,764
503,829,740
504,870,767
505,947,762
506,947,852
507,1012,813
508,1085,836
509,1039,896
510,1089,925
511,1056,866
512,1027,938
513,1027,925
514,1120,887
515,988,876
516,1048,870
517,980,827
518,966,822
519,910,794
520,805,707
521,801,818
522,874,775
523,879,750
524,1011,722
525,983,801
526,984,852
527,1031,845
528,1063,910
529,1050,912
530,1001,965
531,1055,959
532,1106,882
533,1100,846
534,1113,965
535,1084,908
536,1079,858
537,1057,891
538,1066,868
539,955,854
540,906,795
541,919,784
542,812,804
543,840,727
544,827,680
545,830,729
546,966,811
547,935,826
548,931,803
549,991,859
550,1045,850
551,1008,967
552,1091,939
553,1121,907
554,1127,941
555,1094,967
556,1102,963
557,1090,986
558,1137,944
559,1015,940
560,1098,949
561,1043,839
562,1088,893
563,1010,826
564,950,805
565,895,719
566,827,791
567,869,730
568,911,755
569,989,776
570,1054,865
571,1046,845
572,929,853
573,1009,914
574,1037,913
575,1091,973
576,1178,927
577,1165,1034
578,1089,959
579,1218,909
580,1141,876
581,1169,962
582,1084,955
583,1076,907
584,1037,920
585,1008,918
586,1028,812
587,921,812
588,902,868
589,857,782
590,798,717
591,881,751
592,872,759
593,1000,779
594,1000,868
595,985,848
596,1070,943
597,1109,973
598,1179,917
599,1059,944
600,1126,934
601,1089,996
602,1152,927
603,1142,998
604,1134,973
605,1082,1047
606,1130,922
607,1131,907
608,983,980
609,1034,934
610,1026,836
611,989,927
612,964,770
613,879,783
614,822,736
615,857,708
616,951,772
617,1035,801
618,1083,812
619,1024,838
620,1103,883
621,1026,890
622,1087,899
623,1096,977
624,1202,988
625,1147,954
626,1153,952
627,1137,1035
628,1138,1029
629,1104,990
630,1094,1002
631,1078,940
632,1099,978
633,1097,968
634,1106,913
635,1023,860
636,1048,935
637,936,854
638,924,803
639,847,779
640,870,756
641,845,743
642,918,742
643,927,779
644,996,848
645,1113,874
646,1130,888
647,1114,847
648,1048,963
649,1070,957
650,1015,924
651,1140,1025
652,1139,985
653,1146,1047
654,1210,1014
655,1085,947
656,1122,983
657,1163,976
658,1083,981
659,1192,922
660,1074,983
661,1033,860
662,1039,817
663,973,916
664,934,740
665,847,794
666,791,754
667,788,730
668,925,780
669,1020,786
670,1028,800
671,988,814
672,1022,845
673,1032,956
674,1097,937
675,1149,921
676,1189,987
677,1169,1035
678,1265,963
679,1178,951
680,1092,1085
681,995,999
682,1135,1053
683,1168,992
684,1167,990
685,1158,984
686,1105,937
687,1022,951
688,1091,958
689,1046,841
690,949,840
691,910,739
692,855,785
693,897,736
694,923,759
695,992,810
696,1021,890
697,1025,945
698,1110,927
699,1040,939
700,1141,988
701,1127,960
702,1120,941
703,1124,1051
704,1151,961
705,1039,962
706,1153,976
707,1085,939
708,1122,1058
709,1044,975
710,1142,1040
711,1170,959
712,1086,910
713,1038,974
714,1008,933
715,1068,862
716,968,806
717,926,823
718,883,777
719,875,679
720,903,794
721,964,760
722,985,794
723,1070,902
724,1082,957
725,1048,1017
726,1091,950
727,1109,1030
728,1177,1065
729,1223,988
730,1123,995
731,1160,997
732,1182,968
733,1197,1055
734,1132,940
735,1084,1008
736,1148,1032
737,1145,932
738,1168,944
739,1035,920
740,1034,927
741,1008,894
742,980,792
743,902,816
744,801,766
745,841,742
746,876,779
747,1017,786
748,1098,831
749,1041,934
750,1055,928
751,1089,967
752,1140,1016
753,1189,956
754,1107,929
755,1157,953
756,1143,1013
757,1187,943
758,1135,1077
759,1175,1042
760,1119,994
761,1094,1005
762,1167,1018
763,1131,988
764,1110,945
765,1121,860
766,988,894
767,1002,889
768,947,810
769,865,788
770,836,790
771,871,711
772,917,725
773,930,825
774,976,864
775,1048,815
776,1093,924
777,1052,1058
778,1122,963
779,1113,984
780,1171,1005
781,1197,1034
782,1092,1002
783,1031,969
784,1169,966
785,1162,1001
786,1217,1005
787,1167,966
788,1123,974
789,1092,938
790,1181,863
791,999,920
792,992,898
793,933,783
794,890,798
795,926,789
796,804,727
797,886,690
798,894,772
799,949,809
800,1049,800
801,1020,831
802,1057,872
803,1037,891
804,1124,926
805,1024,940
806,1140,1026
807,1193,991
808,1154,937
809,1177,1016
810,1193,981
811,1096,1029
812,1083,988
813,1072,954
814,1136,909
815,1147,960
816,1086,939
817,1078,872
818,1007,926
819,959,803
820,918,729
821,865,760
822,896,759
823,868,748
824,899,844
825,1005,863
826,1046,893
827,1037,861
828,1071,939
829,1033,938
830,1131,928
831,1149,956
832,1079,980
833,1157,937
834,1120,1014
835,1168,926
836,1062,945
837,1139,915
838,1156,1022
839,1074,890
840,1134,963
841,1083,921
842,989,845
843,927,845
844,838,805
845,860,815
846,860,791
847,790,807
848,922,763
849,939,850
850,1023,889
851,1021,878
852,994,913
853,1100,884
854,1101,992
855,1197,974
856,1112,902
857,1178,971
858,1149,969
859,1025,998
860,1230,943
861,1107,940
862,1146,961
863,1014,931
864,1062,905
865,1009,847
866,1001,869
867,902,873
868,892,769
869,794,751
870,786,713
871,843,767
872,885,818
873,937,847
874,901,846
875,1029,882
876,1040,938
877,1062,895
878,1076,942
879,1064,984
880,1169,967
881,1053,948
882,1064,933
883,1080,918
884,1157,966
885,1098,963
886,1046,929
887,1031,802
888,1019,875
889,975,841
890,880,830
891,902,796
892,849,787
893,829,750
894,888,712
895,889,791
896,979,766
897,967,873
898,1066,869
899,990,895
900,1011,941
901,1076,931
902,1110,940
903,1065,946
904,1082,930
905,1048,884
906,1100,908
907,1022,888
908,1057,877
909,989,973
910,965,852
911,844,825
912,896,837
913,860,729
914,785,745
915,797,733
916,805,754
917,880,788
918,857,769
919,959,740
920,954,795
921,917,866
922,941,885
923,1017,863
924,987,941
925,973,870
926,1052,884
927,968,869
928,1000,936
929,1056,926
930,1020,892
931,927,821
932,911,812
933,929,848
934,857,791
935,782,716
936,804,757
937,817,746
938,853,753
939,935,749
940,906,833
941,995,818
942,977,826
943,1047,868
944,938,817
945,1018,809
946,1057,870
947,893,853
948,992,863
949,936,896
950,976,848
951,948,869
952,829,821
953,823,824
954,845,766
955,816,749
956,824,726
957,864,758
958,906,801
959,924,787
960,916,765
961,882,718
962,967,859
963,943,771
964,868,842
965,837,847
966,895,813
967,913,760
968,886,791
969,920,769
970,858,809
971,757,695
972,805,719
973,777,739
974,860,767
975,872,724
976,870,814
977,841,822
978,901,779
979,830,778
980,858,843
981,868,789
982,848,757
983,862,791
984,790,689
985,792,691
