,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
438,3378,1300
439,3231,1183
440,3090,1220
441,2905,1176
442,2603,983
443,2212,1017
444,2440,1031
445,2894,1111
446,2984,1046
447,3151,1207
448,3523,1291
449,3643,1346
450,3885,1298
451,3826,1416
452,4009,1417
453,4122,1295
454,4063,1468
455,4137,1402
456,4301,1389
457,4262,1465
458,4248,1391
459,4124,1312
460,4068,1320
461,4291,1427
462,4056,1427
463,4118,1510
464,3975,1345
465,3980,1353
466,3837,1226
467,3600,1313
468,3361,1284
469,3369,1256
470,2998,1285
471,2811,1059
472,2430,1024
473,2480,984
474,2704,985
475,3068,1041
476,3242,1143
477,3542,1273
478,3714,1244
479,3767,1345
480,3934,1368
481,4095,1429
482,4242,1393
483,4023,1484
484,4164,1414
485,4261,1427
486,4402,1459
487,4575,1458
488,4450,1473
489,4407,1461
490,4377,1551
491,4384,1521
492,4341,1442
493,4307,1458
494,4099,1383
495,4047,1380
496,3900,1357
497,3724,1301
498,3700,1376
499,3533,1282
500,3187,1238
501,3014,1175
502,2716,1139
503,2308,958
504,2959,1031
505,2925,1133
506,2646,1015
507,2962,1078
508,3137,1137
509,3367,1195
510,3627,1383
511,3758,1244
512,3852,1340
513,3891,1369
514,4185,1414
515,4365,1432
516,4401,1489
517,4547,1454
518,4540,1507
519,4529,1572
520,4649,1541
521,4501,1426
522,4427,1566
523,4556,1465
524,4459,1516
525,4489,1511
526,4186,1540
527,4218,1439
528,4084,1403
529,4002,1353
530,4148,1216
531,3690,1298
532,3600,1250
533,3345,1207
534,3304,1249
535,2829,1068
536,2432,1005
537,2798,1184
538,2967,1088
539,3038,1110
540,3255,1175
541,3144,1167
542,3186,1226
543,3144,1216
544,3110,1179
545,3218,1149
546,3110,1119
547,3015,1151
548,2750,1071
549,2964,1037
550,3241,1221
551,3416,1201
552,3658,1294
553,3840,1304
554,4035,1354
555,4105,1366
556,4263,1402
557,4313,1429
558,4375,1442
559,4509,1405
560,4403,1483
561,4508,1533
562,4670,1480
563,4504,1551
564,4581,1469
565,4555,1549
566,4552,1725
567,4504,1589
568,4517,1465
569,4206,1414
570,4192,1492
571,4241,1394
572,4039,1422
573,3896,1320
574,3732,1304
575,3460,1290
576,3298,1208
577,2923,1135
578,2644,1103
579,2811,986
580,2933,1011
581,3034,1086
582,3066,1128
583,3183,1187
584,3356,1190
585,3338,1180
586,3350,1155
587,3409,1158
588,3437,1199
589,3507,1294
590,3349,1232
591,3495,1262
592,3367,1219
593,3442,1188
594,3364,1169
595,3213,1178
596,2927,1168
597,2862,1184
598,2794,1023
599,3069,1057
600,3255,1196
601,3528,1273
602,3652,1279
603,3756,1373
604,3974,1252
605,4037,1285
606,4244,1489
607,4416,1504
608,4444,1511
609,4457,1453
610,4628,1606
611,4552,1564
612,4763,1495
613,4838,1561
614,4775,1501
615,4724,1474
616,4627,1523
617,4594,1538
618,4481,1539
619,4353,1490
620,4335,1498
621,4451,1437
622,4106,1407
623,4003,1400
624,3805,1356
625,3560,1321
626,3369,1287
627,3018,1223
628,2737,1080
629,2677,992
630,2794,1134
631,3051,1115
632,3135,1226
633,3240,1136
634,3357,1299
635,3335,1215
636,3466,1184
637,3546,1252
638,3431,1205
639,3657,1266
640,3586,1317
641,3675,1312
642,3640,1296
643,3611,1234
644,3580,1240
645,3481,1303
646,3552,1210
647,3581,1260
648,3412,1204
649,3287,1228
650,3067,1104
651,2765,1083
652,2532,1038
653,2845,1035
654,3157,1188
655,3475,1163
656,3582,1219
657,3714,1310
658,4003,1381
659,4220,1440
660,4511,1327
661,4296,1457
662,4430,1444
663,4435,1550
664,4473,1533
665,4789,1523
666,4676,1535
667,4642,1590
668,4662,1617
669,4732,1531
670,4538,1607
671,4652,1525
672,4571,1557
673,4471,1566
674,4543,1533
675,4283,1387
676,4299,1393
677,4228,1379
678,4077,1318
679,3972,1305
680,3716,1232
681,3535,1236
682,3267,1306
683,2889,1163
684,2470,1088
685,2510,939
686,2684,1048
687,3008,1132
688,3182,1071
689,3266,1175
690,3349,1166
691,3534,1291
692,3585,1228
693,3601,1254
694,3761,1282
695,3948,1327
696,3877,1420
697,3945,1330
698,3909,1316
699,3928,1415
700,4096,1411
701,3831,1336
702,3718,1413
703,3745,1318
704,3689,1236
705,3478,1311
706,3566,1281
707,3393,1234
708,3250,1206
709,3143,1220
710,2895,1082
711,2604,1122
712,2743,972
713,2920,1116
714,3123,1179
715,3457,1274
716,3798,1251
717,3823,1355
718,4076,1324
719,4348,1327
720,4372,1507
721,4375,1455
722,4418,1520
723,4520,1561
724,4510,1518
725,4567,1583
726,4870,1565
727,4868,1582
728,4805,1620
729,4711,1590
730,4739,1593
731,4766,1545
732,4791,1606
733,4771,1526
734,4589,1560
735,4283,1502
736,4385,1489
737,4162,1415
738,4211,1446
739,4002,1396
740,3784,1429
741,3535,1327
742,3130,1263
743,2996,1165
744,2443,1130
745,2640,1056
746,2769,1013
747,2935,1094
748,3190,1141
749,3192,1198
750,3397,1247
751,3563,1240
752,3809,1356
753,3763,1303
754,3981,1377
755,3883,1278
756,4067,1398
757,4251,1349
758,4132,1362
759,4017,1449
760,4017,1450
761,4170,1396
762,4024,1289
763,3814,1334
764,3926,1437
765,3706,1434
766,3660,1390
767,3623,1248
768,3697,1276
769,3544,1290
770,3321,1299
771,3055,1231
772,3003,1208
773,2585,1065
774,2624,1013
775,2844,1097
776,3154,1253
777,3520,1178
778,3787,1335
779,3939,1343
780,4168,1287
781,4369,1441
782,4389,1462
783,4511,1503
784,4715,1467
785,4744,1424
786,4544,1603
787,4667,1522
788,4771,1603
789,4813,1480
790,4731,1657
791,4744,1697
792,4704,1614
793,4823,1497
794,4737,1489
795,4681,1529
796,4666,1623
797,4392,1575
798,4441,1475
799,4330,1345
800,4135,1478
801,4024,1352
802,3808,1304
803,3664,1280
804,3410,1202
805,2959,1214
806,2705,1127
807,2658,1010
808,2882,1057
809,3141,1101
810,3185,1090
811,3415,1183
812,3430,1266
813,3658,1233
814,3999,1306
815,3905,1433
816,3857,1384
817,4091,1398
818,4161,1409
819,4146,1500
820,4202,1423
821,4224,1430
822,4360,1400
823,4254,1373
824,4170,1448
825,4289,1384
826,4196,1354
827,4120,1414
828,4030,1337
829,4083,1434
830,3817,1392
831,3718,1352
832,3677,1258
833,3373,1324
834,3371,1160
835,3210,1250
836,2898,1098
837,2742,985
838,2688,1067
839,2992,1222
840,3365,1218
841,3545,1238
842,3833,1331
843,4057,1383
844,4147,1324
845,4220,1558
846,4377,1520
847,4501,1461
848,4596,1519
849,4890,1490
850,4724,1519
851,4845,1644
852,4921,1618
853,4740,1624
854,4832,1597
855,5025,1622
856,4923,1668
857,4827,1648
858,4828,1593
859,4739,1520
860,4561,1518
861,4569,1470
862,4528,1423
863,4449,1436
864,4271,1371
865,3987,1361
866,3767,1314
867,3629,1339
868,3466,1337
869,3132,1188
870,2628,1111
871,2833,1003
872,3043,1036
873,3301,1091
874,3396,1151
875,3551,1274
876,3671,1281
877,3795,1314
878,3794,1423
879,3990,1352
880,4182,1366
881,4280,1424
882,4315,1403
883,4379,1504
884,4316,1469
885,4460,1467
886,4326,1500
887,4300,1519
888,4339,1452
889,4486,1425
890,4321,1402
891,4342,1410
892,4258,1481
893,4144,1438
894,4180,1398
895,4005,1415
896,3893,1428
897,3725,1384
898,3474,1281
899,3430,1169
900,2982,1242
901,2840,1194
902,2780,1106
903,2964,1119
904,3234,1300
905,3520,1290
906,3683,1319
907,4042,1391
908,4183,1347
909,4399,1407
910,4536,1523
911,4425,1540
912,4434,1573
913,4672,1603
914,4724,1629
915,4786,1573
916,4864,1659
917,4822,1608
918,4870,1596
919,4856,1542
920,4743,1728
921,4962,1512
922,4970,1603
923,4757,1614
924,4554,1468
925,4493,1423
926,4437,1427
927,4314,1476
928,4209,1424
929,3980,1442
930,3795,1492
931,3627,1373
932,3426,1298
933,3126,1269
934,2818,1141
935,2750,1001
936,2969,1083
937,3110,1152
938,3446,1235
939,3596,1305
940,3777,1189
941,3947,1333
942,4102,1395
943,4117,1413
944,4285,1388
945,4439,1356
946,4608,1497
947,4393,1417
948,4483,1538
949,4557,1555
950,4632,1545
951,4839,1634
952,4561,1490
953,4552,1448
954,4664,1439
955,4489,1415
956,4436,1442
957,4437,1477
958,4348,1555
959,4259,1435
960,4047,1522
961,4044,1366
962,3908,1443
963,3652,1329
964,3428,1311
965,3365,1244
966,3176,1135
967,2806,1064
968,2703,1036
969,3123,1078
970,3287,1182
971,3562,1238
972,3629,1230
973,3859,1302
974,4003,1309
975,4319,1440
976,4225,1427
977,4552,1462
978,4525,1487
979,4848,1597
980,4650,1551
981,4781,1540
982,4898,1629
983,4829,1553
984,4952,1657
985,4911,1554
986,4867,1631
987,4711,1598
988,4791,1615
989,4775,1528
990,4446,1523
991,4526,1587
992,4472,1506
993,4343,1443
994,4097,1450
995,4087,1437
996,3894,1403
997,3765,1412
998,3343,1255
999,3030,1245
1000,2698,1089
1001,2623,1034
1002,2873,1055
1003,3122,1137
1004,3304,1194
1005,3453,1277
1006,3653,1305
1007,3809,1336
1008,4058,1356
1009,4197,1461
1010,4286,1385
1011,4219,1473
1012,4331,1478
1013,4559,1583
1014,4543,1513
1015,4669,1519
1016,4575,1596
1017,4622,1584
1018,4673,1610
1019,4751,1568
1020,4724,1536
1021,4561,1613
1022,4402,1551
1023,4594,1571
1024,4565,1414
1025,4297,1508
1026,4317,1529
1027,4250,1519
1028,4163,1406
1029,4103,1393
1030,3803,1316
1031,3679,1347
1032,3504,1289
1033,3324,1246
1034,3033,1178
1035,2929,988
1036,3072,1073
1037,3311,1179
1038,3428,1266
1039,3726,1315
1040,3868,1334
1041,3951,1361
1042,4171,1366
1043,4260,1399
1044,4513,1528
1045,4630,1568
1046,4793,1458
1047,4842,1597
1048,4888,1550
1049,4762,1520
1050,4802,1533
1051,4663,1638
1052,4645,1575
1053,4960,1568
1054,4839,1543
1055,4775,1488
1056,4589,1580
1057,4558,1475
1058,4646,1494
1059,4496,1512
1060,4333,1404
1061,4169,1385
1062,4152,1438
1063,3821,1486
1064,3737,1347
1065,3316,1239
1066,2993,1167
1067,2663,1117
1068,2911,1058
1069,3021,1078
1070,3351,1192
1071,3418,1174
1072,3620,1241
1073,3877,1269
1074,3983,1377
1075,4207,1430
1076,4307,1439
1077,4327,1389
1078,4517,1514
1079,4629,1518
1080,4691,1556
1081,4653,1538
1082,4716,1657
1083,4655,1682
1084,4834,1523
1085,4823,1519
1086,4868,1494
1087,4759,1539
1088,4788,1565
1089,4646,1564
1090,4761,1621
1091,4591,1475
1092,4603,1523
1093,4547,1476
1094,4471,1523
1095,4353,1456
1096,4213,1378
1097,3910,1422
1098,3827,1405
1099,3599,1262
1100,3414,1448
1101,3210,1219
1102,2679,989
1103,2979,1075
1104,3269,1215
1105,3335,1202
1106,3812,1362
1107,3951,1302
1108,4237,1343
1109,4222,1520
1110,4210,1487
1111,4593,1585
1112,4588,1526
1113,4759,1581
1114,4646,1538
1115,4822,1556
1116,4909,1611
1117,4882,1669
1118,4756,1617
1119,4785,1490
1120,4665,1616
1121,4753,1601
1122,4744,1586
1123,4650,1580
1124,4514,1515
1125,4488,1523
1126,4451,1515
1127,4227,1434
1128,4179,1448
1129,4035,1400
1130,3886,1298
1131,3597,1219
1132,3229,1193
1133,3007,1204
1134,2479,1107
1135,2646,1032
1136,2937,1102
1137,3156,1105
1138,3351,1221
1139,3495,1294
1140,3702,1225
1141,3957,1338
1142,4179,1452
1143,4253,1476
1144,4336,1440
1145,4568,1478
1146,4669,1518
1147,4706,1540
1148,4774,1559
1149,4798,1604
1150,4887,1678
1151,4948,1583
1152,4931,1601
1153,4868,1619
1154,4930,1616
1155,5083,1616
1156,4840,1660
1157,4748,1596
1158,4800,1628
1159,4507,1580
1160,4528,1632
1161,4568,1601
1162,4668,1520
1163,4463,1563
1164,4448,1481
1165,4188,1396
1166,3985,1279
1167,3729,1390
1168,3419,1329
1169,3403,1233
1170,2661,1002
1171,2922,1079
1172,3215,1119
1173,3475,1254
1174,3516,1359
1175,3779,1362
1176,3978,1381
1177,4112,1368
1178,4261,1465
1179,4464,1422
1180,4343,1519
1181,4630,1477
1182,4574,1620
1183,4822,1618
1184,4726,1540
1185,4792,1562
1186,4771,1580
1187,4759,1603
1188,4795,1685
1189,4887,1706
1190,4720,1670
1191,4523,1604
1192,4557,1533
1193,4487,1517
1194,4353,1543
1195,4189,1468
1196,4051,1471
1197,3845,1325
1198,3634,1282
1199,3392,1257
1200,3082,1267
1201,2738,1144
1202,2441,1100
1203,2776,1002
1204,3172,1058
1205,3146,1129
1206,3433,1237
1207,3619,1410
1208,3827,1389
1209,4027,1340
1210,4104,1349
1211,4212,1491
1212,4625,1567
1213,4496,1519
1214,4607,1490
1215,4746,1668
1216,4751,1637
1217,4810,1609
1218,4909,1578
1219,4864,1632
1220,5030,1710
1221,4960,1622
1222,5005,1662
1223,5030,1678
1224,4852,1575
1225,4790,1524
1226,4674,1593
1227,4876,1659
