,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
470,742,3299
471,803,3142
472,736,3080
473,752,3100
474,700,2921
475,748,2678
476,714,2615
477,705,2269
478,750,1824
479,640,1345
480,661,902
481,658,994
482,683,1364
483,708,1759
484,751,2151
485,740,2501
486,723,2732
487,746,2840
488,754,2933
489,805,2946
490,760,3139
491,736,3172
492,765,3114
493,725,2908
494,714,2753
495,766,2633
496,678,2289
497,690,2064
498,675,1617
499,660,1054
500,645,820
501,619,1055
502,701,1409
503,703,1909
504,683,2169
505,706,2344
506,703,2541
507,813,2734
508,774,2922
509,710,2735
510,735,2772
511,759,2851
512,714,2878
513,712,2605
514,686,2283
515,677,2115
516,725,1743
517,685,1248
518,662,898
519,643,912
520,651,1202
521,652,1470
522,755,1753
523,717,1893
524,730,2314
525,723,2400
526,737,2541
527,737,2572
528,711,2628
529,715,2403
530,744,2440
531,651,2288
532,753,2036
533,734,1762
534,687,1404
535,619,1021
536,689,918
537,671,1037
538,646,1447
539,714,1703
540,708,1868
541,692,2088
542,623,2227
543,698,2266
544,674,2264
545,677,2103
546,641,2100
547,696,1757
548,717,1563
549,690,1282
550,682,969
551,665,864
552,674,985
553,695,1162
554,684,1367
555,704,1637
556,735,1743
557,715,1732
558,681,1702
559,676,1635
560,706,1553
561,684,1267
562,680,1056
563,698,1008
564,691,898
565,651,1047
566,666,1158
567,675,1119
568,633,1165
569,691,1201
570,675,1108
571,725,1018
572,650,902
573,710,1637
574,713,1966
575,736,2041
576,772,2143
577,756,2236
578,750,2275
579,737,1986
580,814,1911
581,719,1837
582,779,2120
583,789,2634
584,821,2718
585,776,2792
586,802,2881
587,816,2922
588,836,2860
589,812,2760
590,785,2608
591,754,2409
592,730,2135
593,670,1523
594,736,2117
595,811,2462
596,767,2732
597,723,2991
598,859,3338
599,814,3394
600,816,3490
601,807,3629
602,800,3511
603,833,3436
604,762,3329
605,779,2925
606,772,2696
607,776,2351
608,674,1882
609,800,1561
610,774,2105
611,785,2570
612,849,2957
613,804,3380
614,830,3546
615,833,3682
616,813,4000
617,800,3970
618,840,4068
619,859,3993
620,774,3992
621,764,3927
622,820,3643
623,861,3373
624,784,2955
625,775,2714
626,740,2040
627,719,1518
628,748,2089
629,849,2624
630,809,3126
631,801,3378
632,901,3789
633,813,3989
634,879,4096
635,926,4311
636,826,4387
637,876,4232
638,942,4299
639,898,4045
640,883,4129
641,791,4101
642,835,3759
643,823,3449
644,783,3063
645,742,2630
646,783,1927
647,712,2109
648,773,2671
649,782,3093
650,842,3476
651,817,3730
652,827,4061
653,838,4360
654,868,4565
655,843,4708
656,869,4667
657,854,4704
658,856,4737
659,853,4612
660,842,4478
661,741,4400
662,942,4240
663,817,3946
664,857,3421
665,755,2951
666,719,2439
667,750,1635
668,767,2347
669,775,2986
670,807,3394
671,874,3979
672,883,4359
673,874,4461
674,845,4644
675,946,4680
676,884,4830
677,875,4972
678,904,5091
679,881,4992
680,934,4807
681,849,4829
682,851,4494
683,831,4467
684,794,4297
685,765,3807
686,871,3477
687,830,2828
688,725,2177
689,679,2011
690,774,2656
691,801,3167
692,808,3716
693,812,4032
694,984,4368
695,945,4598
696,889,4792
697,981,4849
698,831,5017
699,879,5245
700,872,4968
701,885,5112
702,879,5151
703,917,5019
704,989,4939
705,830,4654
706,824,4489
707,853,4193
708,801,3740
709,749,3311
710,700,2525
711,750,2296
712,828,2898
713,756,3554
714,805,3981
715,858,4216
716,841,4462
717,900,4724
718,873,4963
719,900,5222
720,940,5392
721,927,5386
722,896,5391
723,953,5454
724,917,5267
725,944,5202
726,854,4920
727,914,4811
728,863,4537
729,871,4347
730,823,3856
731,797,3499
732,756,2830
733,744,1949
734,662,1771
735,712,2492
736,748,3090
737,865,3786
738,811,4204
739,863,4479
740,885,4896
741,954,5064
742,960,5023
743,918,5376
744,910,5510
745,947,5677
746,898,5477
747,921,5469
748,1014,5346
749,954,5112
750,895,5210
751,902,4913
752,790,4743
753,828,4251
754,788,4008
755,834,3649
756,826,2989
757,704,2221
758,687,1922
759,774,2562
760,818,3255
761,857,3790
762,853,4139
763,956,4544
764,873,4872
765,912,4976
766,931,5232
767,856,5481
768,920,5581
769,922,5495
770,944,5436
771,955,5473
772,915,5313
773,869,5282
774,910,5141
775,875,4952
776,842,4881
777,888,4589
778,831,4106
779,828,3792
780,741,3113
781,761,2473
782,703,1961
783,788,2703
784,854,3327
785,865,3931
786,847,4308
787,871,4597
788,859,4877
789,906,5113
790,954,5248
791,991,5475
792,906,5406
793,998,5705
794,937,5683
795,881,5710
796,930,5701
797,989,5504
798,908,5271
799,885,5178
800,857,4957
801,935,4506
802,848,4195
803,839,3945
804,743,3165
805,781,2418
806,752,1915
807,774,2628
808,725,3245
809,852,3979
810,884,4313
811,844,4709
812,878,4983
813,846,5163
814,898,5332
815,868,5589
816,945,5645
817,985,5441
818,988,5689
819,922,5512
820,910,5537
821,901,5520
822,889,5274
823,888,4932
824,849,4967
825,849,4664
826,876,4148
827,776,3724
828,818,3296
829,747,2479
830,772,1895
831,751,2617
832,841,3259
833,795,3884
834,873,4183
835,899,4659
836,906,4814
837,883,4890
838,943,5355
839,842,5645
840,990,5383
841,938,5519
842,951,5523
843,847,5474
844,886,5590
845,913,5786
846,931,5222
847,913,5039
848,878,4766
849,814,4548
850,831,4214
851,769,3723
852,790,3265
853,724,2419
854,735,1674
855,751,2447
856,764,3100
857,841,3715
858,882,4224
859,938,4485
860,863,4771
861,851,5043
862,884,5337
863,929,5323
864,845,5274
865,905,5380
866,946,5259
867,870,5626
868,901,5721
869,995,5198
870,876,5359
871,888,5107
872,881,4955
873,833,4637
874,840,4049
875,716,3656
876,751,2948
877,725,2163
878,697,2265
879,765,3041
880,822,3623
881,787,3990
882,880,4392
883,876,4624
884,907,4887
885,909,4925
886,940,5319
887,906,5489
888,880,5305
889,877,5348
890,896,5281
891,888,5386
892,912,5230
893,928,5062
894,874,4830
895,837,4622
896,834,4332
897,783,3904
898,803,3477
899,750,2824
900,721,1957
901,733,1904
902,743,2605
903,743,3203
904,805,3636
905,942,4093
906,866,4556
907,898,4765
908,891,4833
909,930,4923
910,933,5081
911,869,5179
912,953,5212
913,932,5110
914,875,5363
915,935,5039
916,861,4760
917,861,4631
918,900,4510
919,844,4236
920,766,3604
921,710,3153
922,729,2451
923,704,1617
924,673,2215
925,736,2942
926,776,3362
927,819,3752
928,871,4138
929,857,4435
930,878,4810
931,873,4828
932,877,5027
933,875,5104
934,922,5009
935,871,5113
936,890,4969
937,926,4742
938,872,4671
939,773,4273
940,848,3990
941,764,3902
942,784,3411
943,731,2800
944,703,2016
945,740,1933
946,817,2542
947,716,3074
948,805,3520
949,867,3833
950,880,4268
951,871,4491
952,874,4727
953,838,4728
954,900,4905
955,849,4825
956,860,4790
957,894,4682
958,854,4599
959,897,4303
960,852,4032
961,772,3762
962,779,3498
963,772,2845
964,717,2261
965,713,1405
966,752,1975
967,758,2610
968,816,2948
969,790,3504
970,806,3683
971,852,4069
972,803,4177
973,802,4309
974,861,4420
975,872,4397
976,849,4312
977,866,4256
978,792,4298
979,869,4058
980,830,3709
981,794,3509
982,779,3039
983,716,2375
984,678,1664
985,726,1451
986,751,2034
987,777,2497
988,799,3037
989,816,3259
990,874,3491
991,892,3817
992,782,3940
993,796,4110
994,834,3983
995,930,3957
996,859,3887
997,790,3795
998,822,3479
999,752,3184
1000,736,2910
1001,702,2433
1002,722,1762
1003,696,1373
1004,755,1938
1005,779,2256
1006,758,2795
1007,795,2959
1008,788,3126
1009,769,3263
1010,825,3407
1011,776,3554
1012,813,3449
1013,772,3374
1014,745,3142
1015,793,2975
1016,778,2676
1017,705,2158
1018,712,1549
1019,693,1660
1020,736,1932
1021,722,2198
1022,722,2385
1023,812,2649
1024,788,2729
1025,795,2823
1026,732,2837
1027,805,2632
1028,670,2508
1029,737,2229
1030,683,1831
1031,741,1753
1032,753,1851
1033,714,1857
1034,800,1991
1035,683,1840
1036,699,1683
1037,650,754
1038,681,819
1039,687,933
1040,657,969
1041,624,1124
1042,666,1074
1043,682,1031
1044,695,988
1045,665,905
1046,669,663
1047,662,863
1048,685,998
1049,708,1264
1050,686,1415
1051,708,1590
1052,651,1672
1053,685,1645
1054,676,1600
1055,737,1515
1056,663,1315
1057,685,1032
1058,622,979
1059,637,746
1060,675,853
1061,671,1104
1062,669,1460
1063,681,1689
1064,701,1845
1065,698,2068
1066,749,2224
1067,692,2063
1068,651,2179
1069,672,2092
1070,634,1889
1071,697,1704
1072,707,1284
1073,628,1038
1074,681,818
1075,698,713
1076,676,830
1077,681,1085
1078,697,1508
1079,717,1843
1080,713,2122
1081,701,2268
1082,722,2477
1083,730,2523
1084,713,2573
1085,693,2546
1086,711,2391
1087,691,2346
1088,738,2151
1089,683,1875
1090,729,1381
1091,603,1058
1092,609,784
1093,634,775
1094,697,1107
1095,672,1509
1096,648,1958
1097,738,2165
1098,700,2390
1099,727,2629
1100,777,2847
1101,705,2900
1102,720,2864
1103,750,2880
1104,739,2784
1105,691,2612
1106,691,2389
1107,699,2292
1108,730,1847
1109,676,1342
1110,657,969
1111,662,721
1112,636,862
1113,693,1420
1114,697,1776
1115,767,2119
1116,765,2572
1117,730,2747
1118,766,2884
1119,708,3009
1120,744,3090
1121,688,3103
1122,765,3087
1123,765,3137
1124,744,2920
1125,736,2635
1126,726,2444
1127,657,2113
1128,706,1773
1129,681,1192
1130,652,838
1131,643,788
1132,664,1200
1133,663,1538
1134,772,2050
1135,770,2491
1136,739,2701
1137,742,2923
1138,772,3090
1139,854,3229
1140,805,3196
1141,756,3296
1142,802,3344
1143,753,3300
1144,762,3084
1145,753,2941
1146,772,2750
1147,669,2480
1148,705,2050
1149,684,1403
1150,649,1002
1151,619,813
1152,672,1317
1153,707,1767
1154,696,2139
1155,750,2473
1156,761,2770
1157,784,3030
1158,767,3283
1159,757,3327
1160,786,3442
1161,861,3585
1162,737,3451
1163,770,3435
1164,720,3310
1165,762,3250
1166,779,2846
1167,723,2674
1168,660,2370
1169,628,1730
1170,697,1155
1171,650,914
1172,692,1320
1173,706,1981
1174,730,2337
1175,807,2679
1176,752,3016
1177,801,3185
1178,779,3212
1179,787,3376
1180,791,3534
1181,807,3554
1182,808,3578
1183,736,3589
1184,802,3364
1185,760,3280
1186,725,3090
1187,714,2784
1188,637,2341
1189,649,1768
1190,633,1202
1191,676,927
1192,718,1456
1193,706,1903
1194,664,2424
1195,738,2748
1196,786,3069
1197,729,3149
1198,787,3289
1199,790,3455
1200,817,3587
1201,860,3502
1202,752,3563
1203,775,3450
1204,812,3410
1205,743,3283
1206,737,3090
1207,696,2863
1208,763,2346
1209,719,1955
1210,647,1304
1211,589,717
1212,654,902
1213,673,1452
1214,708,1894
1215,711,2225
1216,867,2541
1217,820,2942
1218,752,3210
1219,783,3228
1220,821,3517
1221,789,3557
1222,762,3654
1223,760,3603
1224,783,3489
1225,711,3410
1226,786,3333
1227,727,3079
1228,729,2846
1229,680,2368
1230,686,1840
1231,635,1232
1232,673,938
1233,671,1429
1234,718,1938
1235,710,2230
1236,828,2587
1237,742,2930
1238,800,3052
1239,789,3389
1240,803,3543
1241,769,3715
1242,734,3547
1243,833,3489
1244,788,3504
1245,804,3207
1246,782,3176
1247,809,2992
1248,748,2668
1249,687,2280
1250,625,1810
1251,636,1149
1252,610,901
1253,687,1257
1254,663,1718
1255,737,2179
1256,738,2513
1257,797,2803
1258,761,2961
1259,728,3225
1260,753,3489
1261,807,3406
1262,807,3543
1263,729,3451
1264,745,3324
1265,778,3261
1266,745,3091
1267,682,2915
1268,699,2656
1269,605,2171
1270,660,1606
1271,681,1030
1272,667,879
1273,655,1189
1274,745,1533
1275,696,1969
1276,733,2416
1277,813,2730
1278,765,2978
1279,753,2966
1280,782,3092
1281,739,3275
1282,818,3345
1283,837,3367
1284,804,3284
1285,789,3139
1286,727,2994
1287,722,2707
1288,777,2344
1289,649,2024
1290,628,1346
1291,630,1024
1292,651,757
1293,661,864
1294,698,1410
1295,735,1744
1296,734,2162
1297,741,2386
1298,801,2691
1299,760,2895
1300,764,3103
1301,783,3174
1302,730,3034
1303,780,3052
1304,769,3127
1305,793,2854
1306,746,2787
1307,652,2423
1308,709,2152
1309,746,1695
1310,700,1179
1311,680,860
1312,648,1162
1313,649,1467
1314,684,1790
1315,741,2163
1316,749,2453
1317,748,2725
1318,759,2864
1319,748,2832
1320,771,2800
1321,768,2836
1322,737,2813
1323,721,2674
1324,693,2545
1325,641,2250
1326,633,1793
1327,658,1368
1328,641,955
1329,610,774
1330,671,893
1331,650,1076
1332,691,1511
1333,699,1732
1334,654,2078
1335,711,2203
1336,724,2479
1337,691,2559
1338,674,2528
1339,766,2530
1340,726,2564
1341,659,2269
1342,672,2075
1343,651,1713
1344,626,1336
1345,677,1005
1346,628,733
1347,671,880
1348,695,1165
1349,633,1280
1350,727,1635
1351,689,1890
1352,727,2051
1353,709,2122
1354,728,2158
1355,671,2138
1356,697,1955
1357,705,1950
1358,621,1714
1359,652,1254
1360,629,1007
1361,673,895
1362,651,967
1363,655,1056
1364,667,1280
1365,635,1448
1366,638,1558
1367,684,1648
1368,704,1520
1369,644,1439
1370,628,1273
1371,685,1073
1372,582,902
1373,646,875
1374,662,948
1375,689,956
1376,633,1020
1377,635,958
1378,657,1081
1379,660,998
1380,662,940
1381,628,638
1382,595,597
1383,593,646
1384,609,610
1385,655,629
1386,595,630
1387,633,629
1388,621,690
1389,624,738
1390,617,693
1391,642,678
1392,573,676
1393,640,657
1394,614,663
1395,625,641
1396,595,698
1397,650,756
1398,617,805
1399,654,977
1400,642,969
1401,613,932
1402,639,873
1403,620,763
1404,614,736
1405,605,623
1406,657,659
1407,655,711
1408,637,934
1409,655,1049
1410,635,1172
1411,630,1188
1412,664,1170
1413,641,1134
1414,620,1080
1415,661,925
1416,608,867
1417,590,751
1418,604,629
1419,610,618
1420,588,695
1421,635,896
1422,673,1110
1423,612,1236
1424,650,1442
1425,622,1402
1426,642,1363
1427,689,1315
1428,649,1297
1429,662,1044
1430,634,916
1431,647,814
1432,613,708
1433,653,667
1434,602,768
1435,630,956
1436,653,1287
1437,640,1392
1438,614,1566
1439,632,1514
1440,675,1581
1441,652,1558
1442,663,1446
1443,659,1389
1444,611,1138
1445,654,857
1446,587,734
1447,606,689
1448,622,657
1449,654,656
1450,640,854
1451,630,1113
1452,623,1344
1453,690,1516
1454,763,1539
1455,633,1675
1456,646,1552
1457,691,1670
1458,657,1640
1459,634,1563
1460,618,1275
1461,619,940
1462,621,752
1463,592,632
1464,588,605
1465,645,704
1466,641,902
1467,632,1147
1468,712,1539
1469,682,1644
1470,676,1653
1471,668,1651
1472,679,1778
1473,673,1743
1474,696,1547
1475,640,1376
1476,685,1292
1477,626,1008
1478,657,824
1479,583,733
1480,618,669
1481,631,702
1482,627,912
1483,624,1287
1484,637,1451
1485,672,1635
1486,699,1737
1487,659,1726
1488,673,1735
1489,702,1730
1490,707,1695
1491,643,1550
1492,680,1297
1493,645,1030
1494,592,812
1495,610,631
1496,611,654
1497,665,707
1498,644,942
1499,651,1202
1500,671,1457
1501,656,1572
1502,658,1736
1503,668,1694
1504,660,1651
1505,695,1735
1506,678,1731
1507,638,1538
1508,650,1280
1509,616,1107
1510,640,780
1511,628,721
1512,607,637
1513,576,734
1514,658,838
1515,671,1126
1516,657,1281
1517,663,1414
1518,669,1618
1519,645,1609
1520,648,1741
1521,678,1686
1522,636,1583
1523,649,1421
1524,637,1178
1525,657,875
1526,630,717
1527,624,616
1528,634,669
1529,642,783
1530,664,1009
1531,631,1154
1532,600,1427
1533,647,1408
1534,668,1476
1535,661,1534
1536,639,1453
1537,661,1432
1538,606,1251
1539,638,1166
1540,629,839
1541,618,693
1542,598,661
1543,640,749
1544,623,895
1545,658,1001
1546,659,1172
1547,676,1214
1548,602,1319
1549,648,1372
1550,616,1325
1551,593,1234
1552,622,1000
1553,616,954
1554,625,773
1555,629,687
1556,592,691
1557,585,701
1558,579,812
1559,623,889
1560,619,995
1561,590,1079
1562,612,1090
1563,600,997
1564,628,994
1565,601,836
1566,644,774
1567,603,730
1568,633,687
1569,610,724
1570,656,789
1571,632,854
1572,619,865
1573,636,878
1574,654,864
1575,592,799
1576,606,672
1577,628,656
1578,596,703
1579,632,717
1580,627,698
1581,642,701
1582,608,735
1583,604,739
1584,619,684
1585,680,676
1586,639,761
1587,623,714
1588,595,720
