,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
459,2309,973
460,2264,967
461,2233,959
462,2060,957
463,994,622
464,1032,699
465,1064,699
466,1089,689
467,1130,776
468,1229,771
469,1148,682
470,1175,711
471,1079,691
472,948,663
473,996,721
474,857,722
475,2077,882
476,2058,934
477,2226,970
478,2383,953
479,2443,1059
480,2496,1060
481,2493,982
482,2558,1048
483,2559,1049
484,2626,1063
485,2501,1002
486,2370,979
487,2485,992
488,2188,927
489,2022,910
490,1846,835
491,961,699
492,982,698
493,902,671
494,1025,692
495,1048,734
496,1079,723
497,1027,702
498,970,687
499,1048,752
500,934,735
501,1854,879
502,2043,982
503,2316,968
504,2464,1063
505,2478,1053
506,2617,1091
507,2770,1133
508,2791,1081
509,2821,1120
510,2870,1131
511,2873,1058
512,2812,1174
513,2707,1124
514,2744,1087
515,2608,1083
516,2546,1053
517,2386,1005
518,2186,991
519,1963,901
520,1808,866
521,918,690
522,999,731
523,936,685
524,958,737
525,913,705
526,1020,676
527,1962,920
528,2214,981
529,2409,1010
530,2520,1052
531,2716,994
532,2731,1088
533,2741,1133
534,2877,1146
535,3040,1260
536,2912,1136
537,3025,1154
538,3018,1213
539,3032,1198
540,3035,1152
541,2999,1081
542,2997,1124
543,2794,1118
544,2690,1083
545,2519,977
546,2223,936
547,1986,954
548,1858,822
549,2050,937
550,2254,1020
551,2332,976
552,2587,1042
553,2824,1047
554,2978,1176
555,2927,1122
556,2988,1179
557,3132,1217
558,3159,1185
559,3226,1278
560,3271,1277
561,3216,1267
562,3229,1257
563,3117,1208
564,3219,1169
565,3090,1198
566,2989,1074
567,2694,1126
568,2751,1091
569,2557,1004
570,2308,997
571,1997,931
572,1783,861
573,1982,969
574,2179,964
575,2491,1024
576,2758,1087
577,2922,1106
578,2983,1176
579,3211,1115
580,3272,1125
581,3261,1241
582,3351,1219
583,3484,1331
584,3297,1251
585,3472,1308
586,3329,1227
587,3363,1267
588,3280,1251
589,3240,1194
590,3066,1160
591,3180,1175
592,2973,1093
593,2927,1105
594,2767,1034
595,2633,1074
596,2357,934
597,1998,972
598,2163,1035
599,2407,1037
600,2687,1103
601,2843,1128
602,3125,1109
603,3156,1204
604,3368,1283
605,3258,1223
606,3420,1283
607,3289,1247
608,3505,1243
609,3416,1310
610,3490,1281
611,3544,1222
612,3584,1393
613,3550,1267
614,3511,1262
615,3351,1222
616,3178,1178
617,3064,1237
618,2959,1105
619,2801,1125
620,2720,1108
621,2483,999
622,2269,1009
623,1996,879
624,1969,921
625,2288,1013
626,2586,1034
627,2764,1112
628,3011,1120
629,3289,1255
630,3027,1204
631,3296,1274
632,3435,1223
633,3556,1368
634,3389,1282
635,3562,1299
636,3735,1294
637,3726,1309
638,3730,1291
639,3679,1242
640,3613,1300
641,3496,1278
642,3405,1277
643,3469,1290
644,3474,1211
645,3281,1208
646,3067,1116
647,2807,1140
648,2727,1113
649,2471,985
650,2177,992
651,2191,1064
652,2482,1025
653,2768,1029
654,2749,1135
655,3037,1190
656,3149,1187
657,3308,1194
658,3357,1287
659,3560,1388
660,3782,1358
661,3647,1285
662,3694,1320
663,3693,1317
664,3876,1413
665,3924,1306
666,3846,1357
667,3648,1276
668,3583,1337
669,3549,1245
670,3577,1243
671,3397,1195
672,3272,1220
673,3150,1186
674,2977,1172
675,2813,1037
676,2660,1081
677,2342,971
678,1941,847
679,2086,972
680,2441,1013
681,2504,1017
682,2799,1120
683,2957,1159
684,3143,1233
685,3332,1178
686,3448,1376
687,3677,1352
688,3683,1310
689,3763,1337
690,3762,1385
691,3837,1299
692,3711,1290
693,3818,1372
694,3889,1286
695,3769,1371
696,3790,1312
697,3782,1328
698,3717,1274
699,3541,1202
700,3496,1314
701,3486,1214
702,3197,1239
703,3103,1182
704,2879,1117
705,2594,964
706,2420,1018
707,2153,934
708,2110,1014
709,2549,1043
710,2605,1198
711,2787,1175
712,3179,1143
713,3231,1224
714,3427,1275
715,3571,1255
716,3675,1360
717,3768,1379
718,3718,1349
719,3784,1328
720,3952,1363
721,3941,1444
722,3824,1371
723,3751,1384
724,3949,1386
725,3786,1307
726,3874,1367
727,3716,1330
728,3727,1294
729,3738,1278
730,3599,1345
731,3276,1248
732,3097,1217
733,2857,1107
734,2750,1110
735,2544,1039
736,2255,1062
737,2261,1040
738,2503,1129
739,2743,1126
740,2951,1231
741,3185,1195
742,3366,1271
743,3471,1228
744,3599,1238
745,3644,1369
746,3650,1374
747,3897,1324
748,3972,1385
749,3999,1374
750,3958,1485
751,3879,1450
752,3871,1334
753,3780,1369
754,3738,1402
755,3793,1274
756,3779,1490
757,3705,1299
758,3653,1301
759,3463,1293
760,3387,1263
761,3201,1144
762,3032,1156
763,2920,1113
764,2652,1061
765,2323,1019
766,2041,856
767,2307,1042
768,2543,1044
769,2844,1097
770,3089,1207
771,3200,1198
772,3366,1204
773,3524,1360
774,3515,1321
775,3635,1413
776,3762,1276
777,3849,1344
778,3915,1408
779,3849,1349
780,3953,1460
781,4033,1305
782,3880,1421
783,3899,1370
784,3948,1392
785,3839,1297
786,3750,1350
787,3719,1312
788,3688,1279
789,3615,1235
790,3360,1205
791,3208,1314
792,3120,1234
793,2920,1080
794,2664,1098
795,2378,996
796,2041,941
797,1931,975
798,2281,1017
799,2428,1048
800,2889,1145
801,3023,1199
802,3111,1227
803,3586,1257
804,3539,1313
805,3581,1376
806,3846,1325
807,3873,1509
808,3817,1423
809,4009,1398
810,4082,1488
