,CY3_Intensity,GFP_Intensity,Label
0,13825,8416,1
1,13641,8630,1
2,13526,8262,1
3,13381,8407,1
4,13816,8334,1
5,13754,8380,1
6,13686,8493,1
7,13744,8552,1
8,14039,8593,1
9,13677,8340,1
10,13637,8481,1
11,13427,8105,1
12,13536,8177,1
13,13929,8499,1
14,14005,8575,1
15,14146,8643,1
16,14001,8462,1
17,14331,8575,1
18,14802,8865,1
19,14394,8602,1
20,14620,8647,1
21,15018,8684,1
22,14874,8285,1
23,14802,8684,1
24,14737,8653,1
25,14874,8611,1
26,15123,8462,1
27,14228,8435,1
28,14435,8499,1
29,14399,8715,1
30,14150,8540,1
31,13381,8602,1
32,13458,8861,1
33,13422,8570,1
34,13669,8146,1
35,13669,8182,1
36,13810,8250,1
37,13857,8513,1
38,14034,8364,1
39,14069,8400,1
40,14904,8726,1
41,14977,8726,1
42,14645,9013,1
43,15194,8690,1
44,15562,8586,1
45,15304,8690,1
46,15557,8472,1
47,15593,8726,1
48,15666,8873,1
49,15599,8659,1
50,15811,8872,1
51,15453,8513,1
52,15484,8908,1
53,15920,8799,1
54,15598,8950,1
55,15271,8804,1
56,14904,8544,1
57,14946,8550,1
58,14905,8509,1
59,14504,8580,1
60,14146,8695,1
61,14106,8290,1
62,13669,8544,1
63,13414,8617,1
64,12798,8400,1
65,13490,7967,1
66,14114,8335,1
67,14218,8476,1
68,14364,8585,1
69,14727,8512,1
70,14976,8653,1
71,14840,8626,1
72,15275,8408,1
73,15343,8620,1
74,15567,8842,1
75,15743,8874,1
76,15707,8440,1
77,16034,8948,1
78,16298,8739,1
79,16433,8983,1
80,16651,8693,1
81,16142,8839,1
82,16398,8803,1
83,16614,8548,1
84,16215,8694,1
85,15965,8770,1
86,16437,8734,1
87,16106,8476,1
88,15965,9024,1
89,15888,8729,1
90,15853,8803,1
91,15344,8730,1
92,15671,8620,1
93,15202,8844,1
94,15017,8765,1
95,14836,8729,1
96,14326,8911,1
97,13709,8658,1
98,13640,8552,1
99,13242,8516,1
100,13506,8028,1
101,13830,8318,1
