,CY3_Intensity,GFP_Intensity,Label
92914,56800,16526,3
92915,56692,16562,3
92916,55637,16198,3
92917,55560,16302,3
92918,55715,16349,3
92919,55198,15904,3
92920,55017,15832,3
92921,54802,16271,3
92922,54767,16272,3
92923,54984,16380,3
92924,54586,16452,3
92925,54730,16452,3
92926,55016,16157,3
92927,53967,16125,3
92928,54072,16121,3
92929,54144,16375,3
92930,54181,16411,3
92931,54403,16163,3
92932,53890,15939,3
92933,53490,15830,3
92934,53422,16162,3
92935,53164,16049,3
92936,52623,16125,3
92937,52805,15980,3
92938,52478,16018,3
92939,51860,16162,3
92940,51124,15644,3
92941,51456,15941,3
92942,51060,15546,3
92943,50910,15794,3
92944,50512,15360,3
92945,50113,15613,3
92946,49494,15469,3
92947,49058,15397,3
92948,48949,15216,3
92949,48368,14997,3
92950,48119,15402,3
92951,47792,15219,3
92952,47427,14712,3
92953,47173,15002,3
92954,46992,14965,3
92955,46334,14525,3
92956,45571,14635,3
92957,44522,14783,3
92958,44522,14529,3
92959,43790,14308,3
92960,44049,14493,3
92961,42671,14566,3
92962,42446,14018,3
92963,41720,14089,3
92964,40594,13836,3
92965,40417,14022,3
92966,39069,13545,3
92967,38560,13764,3
92968,36926,13364,3
92969,35987,13331,3
92970,35910,13038,3
92971,35477,13259,3
92972,34823,13222,3
92973,34310,12819,3
92974,33298,12897,3
92975,32727,12659,3
92976,32204,12492,3
92977,31113,12348,3
92978,31114,12456,3
92979,31046,12388,3
92980,30064,12327,3
92981,30901,12765,3
92982,31812,12838,3
92983,31667,12983,3
92984,33087,12947,3
92985,33743,13093,3
92986,34799,13238,3
92987,35012,13380,3
92988,35673,13166,3
92989,36514,13024,3
92990,38477,13713,3
92991,38859,13827,3
92992,39974,14007,3
92993,40334,14149,3
92994,41100,14222,3
92995,41641,14399,3
92996,42561,14591,3
92997,42556,14586,3
92998,43539,14878,3
92999,44450,14477,3
93000,45250,15059,3
93001,44886,14914,3
93002,45906,15059,3
93003,46198,15132,3
93004,46822,15064,3
93005,47326,15278,3
93006,47441,15246,3
93007,48456,15132,3
93008,48493,15532,3
93009,49803,15678,3
93010,49366,15314,3
93011,49762,15601,3
93012,49839,15460,3
93013,50673,15747,3
93014,50895,15606,3
93015,50965,15710,3
93016,51406,15860,3
93017,51806,15969,3
93018,52279,16006,3
93019,52462,15969,3
93020,52098,15969,3
93021,52312,15928,3
93022,52935,16043,3
93023,53299,16152,3
93024,52643,16260,3
93025,53445,15969,3
93026,53955,15787,3
93027,54206,16547,3
93028,53987,16256,3
93029,54355,16260,3
93030,54497,16620,3
93031,54142,16593,3
93032,54866,16370,3
93033,54979,16411,3
93034,54902,16552,3
93035,55157,16443,3
93036,54355,16516,3
93037,55703,16407,3
93038,55047,16297,3
93039,55303,16260,3
93040,55662,16511,3
93041,55380,16265,3
93042,54829,16771,3
93043,55890,16520,3
93044,56213,16443,3
93045,55922,16771,3
93046,56173,16620,3
93047,55375,16297,3
93048,55886,16697,3
93049,55448,16370,3
93050,56322,16443,3
93051,55630,16224,3
93052,56395,16370,3
93053,56532,16615,3
93054,55776,16516,3
93055,55558,16152,3
93056,56650,16188,3
93057,55448,16479,3
93058,55708,16411,3
93059,55845,16366,3
93060,56103,16297,3
93061,54938,16188,3
93062,55521,16370,3
93063,55558,16771,3
93064,54429,16443,3
93065,55667,16224,3
93066,54542,16520,3
93067,54251,15828,3
93068,54538,16188,3
93069,54246,16224,3
93070,54355,16188,3
93071,53737,16188,3
93072,54101,16224,3
93073,53518,16260,3
93074,54206,16256,3
93075,53118,16006,3
93076,52713,15855,3
93077,52899,15933,3
93078,52903,16338,3
93079,53009,16043,3
93080,52457,16256,3
93081,51734,15933,3
93082,51770,16006,3
93083,51879,15896,3
93084,51551,15824,3
93085,50750,15642,3
93086,51073,15346,3
93087,51114,15568,3
93088,49945,15419,3
93089,49949,15204,3
93090,49839,15642,3
93091,49470,15310,3
93092,48274,15278,3
93093,48346,15059,3
93094,47910,15278,3
93095,47363,15204,3
93096,47258,15246,3
93097,46931,14554,3
93098,46193,14727,3
93099,45906,14768,3
93100,45756,14873,3
93101,44522,14731,3
93102,44522,14768,3
93103,43539,14149,3
93104,42810,14403,3
93105,42228,14403,3
93106,41645,14222,3
93107,40739,13862,3
93108,40002,13671,3
93109,38877,13821,3
93110,38586,13639,3
93111,37452,13306,3
93112,36692,13093,3
93113,36251,13015,3
93114,35636,13129,3
93115,34944,12910,3
93116,34065,12906,3
93117,33232,13202,3
93118,32031,12802,3
93119,32468,12619,3
93120,31885,12327,3
93121,31156,12474,3
93122,30315,12250,3
93123,30134,12509,3
93124,30427,12364,3
93125,31521,12510,3
93126,31699,12687,3
93127,32579,12654,3
93128,33053,12983,3
93129,33747,12948,3
93130,34549,13348,3
93131,35139,13025,3
93132,36484,13458,3
93133,37578,13604,3
93134,38122,13637,3
93135,39367,13751,3
93136,40353,14079,3
93137,40420,14001,3
93138,41229,14043,3
93139,41375,14297,3
93140,43054,14627,3
93141,42840,14448,3
93142,43600,14517,3
93143,45061,14917,3
93144,44463,14612,3
93145,45132,14481,3
93146,45173,14996,3
93147,46556,15100,3
93148,46892,15156,3
93149,47906,15391,3
93150,47579,15210,3
93151,48487,15168,3
93152,48965,15356,3
93153,48747,15391,3
93154,48819,15391,3
93155,49913,15574,3
93156,49295,15539,3
93157,49764,15279,3
93158,50793,15834,3
93159,50643,15684,3
93160,51592,15684,3
93161,51774,15976,3
93162,52103,15793,3
93163,51624,16080,3
93164,52141,15939,3
93165,52214,15794,3
93166,52870,16013,3
93167,52874,16200,3
93168,53236,15939,3
93169,53418,15647,3
93170,53494,16711,3
93171,53896,16200,3
93172,53672,16451,3
93173,53929,16195,3
93174,53745,16341,3
93175,55023,16450,3
93176,54001,16196,3
93177,54367,16232,3
93178,54950,15976,3
93179,55790,16157,3
93180,54224,16200,3
93181,55133,16012,3
93182,55460,16377,3
93183,54694,16524,3
93184,54548,16268,3
93185,55388,16524,3
93186,55132,16048,3
93187,55498,16596,3
93188,55497,16412,3
93189,54767,16450,3
93190,55644,16196,3
93191,55502,16600,3
93192,55534,16195,3
93193,55530,16327,3
93194,54955,16382,3
93195,55717,16596,3
93196,54992,16528,3
93197,55975,16674,3
93198,55940,16235,3
93199,55096,16340,3
93200,55721,16491,3
93201,55757,16454,3
93202,55538,16235,3
93203,54986,16341,3
93204,55279,16049,3
93205,55137,16200,3
93206,54621,16487,3
93207,54731,16524,3
93208,54406,16272,3
93209,54516,16417,3
93210,55497,16267,3
93211,54696,16268,3
93212,54162,16150,3
93213,53929,15977,3
93214,53928,15720,3
93215,54805,16121,3
93216,53787,16200,3
93217,53418,16085,3
93218,52798,16196,3
93219,53053,16013,3
93220,52834,15866,3
93221,52761,15977,3
93222,52140,15647,3
93223,51848,15938,3
93224,51774,16049,3
93225,51806,15570,3
93226,51046,15610,3
93227,50648,15360,3
93228,50793,15725,3
93229,50207,15464,3
93230,50279,15210,3
93231,49810,15397,3
93232,49127,15291,3
93233,48491,15210,3
93234,48782,15464,3
93235,48022,15214,3
93236,47619,15396,3
93237,47911,14850,3
93238,47287,14881,3
93239,46703,14954,3
93240,46153,14823,3
93241,45607,14882,3
93242,44696,14735,3
93243,44877,14808,3
93244,44185,14114,3
93245,43341,14148,3
93246,42980,14041,3
93247,42214,13970,3
93248,41338,14297,3
93249,40681,14224,3
93250,39550,14006,3
93251,38455,13750,3
93252,38602,13422,3
93253,37688,13238,3
93254,36703,13019,3
93255,35979,12951,3
93256,34847,12916,3
93257,34733,13239,3
93258,34148,12728,3
93259,33606,12513,3
93260,33017,12583,3
93261,33128,12693,3
93262,31375,12254,3
93263,31375,12509,3
93264,29947,12066,3
93265,30063,12441,3
93266,31130,12486,3
93267,31130,12449,3
93268,31830,12782,3
93269,32561,12709,3
93270,33251,12889,3
93271,33763,13070,3
93272,34385,12962,3
93273,35440,13286,3
93274,36024,13469,3
93275,36975,13506,3
93276,38446,13808,3
93277,39080,13843,3
93278,39611,13985,3
93279,40202,14100,3
93280,41555,14318,3
93281,42098,14096,3
93282,42679,14747,3
93283,42828,14498,3
93284,43670,14715,3
93285,44182,14972,3
93286,44656,14899,3
93287,45497,14973,3
93288,45388,15008,3
93289,46919,15005,3
93290,46776,15154,3
93291,47687,15334,3
93292,47034,15263,3
93293,47799,14827,3
93294,49154,15446,3
93295,49227,15592,3
93296,49335,15410,3
93297,49666,15302,3
93298,49076,15334,3
93299,50212,15520,3
93300,50724,15557,3
93301,51341,15589,3
93302,51089,15739,3
93303,50839,15707,3
93304,50578,15812,3
93305,50908,15776,3
93306,51748,15959,3
93307,52731,15699,3
93308,52849,16073,3
93309,52444,15850,3
93310,52735,15921,3
93311,52337,16183,3
93312,52991,16069,3
93313,53795,15959,3
93314,53760,16214,3
93315,54088,16105,3
93316,54308,16324,3
93317,53352,16174,3
93318,53650,16032,3
93319,54453,16579,3
93320,54380,16287,3
93321,54124,16361,3
93322,55875,16392,3
93323,54124,15922,3
93324,54379,16069,3
93325,54453,16580,3
93326,55330,16179,3
93327,55075,16178,3
93328,55367,16580,3
93329,55988,16579,3
93330,55183,16433,3
93331,54632,16100,3
93332,55843,16397,3
93333,55148,16068,3
93334,55289,16429,3
93335,55912,16503,3
93336,54934,16549,3
93337,55249,15987,3
93338,55262,16402,3
93339,55592,16218,3
93340,54569,16475,3
93341,54819,16360,3
93342,54966,15849,3
93343,55222,16214,3
93344,54563,16325,3
93345,54454,16069,3
93346,54786,16330,3
93347,55183,16251,3
93348,54379,16398,3
93349,54782,16104,3
93350,53717,16173,3
93351,53978,16287,3
93352,54125,16288,3
93353,53796,16104,3
93354,53613,15959,3
93355,53543,16183,3
93356,53393,16360,3
93357,53540,15631,3
93358,52845,16031,3
93359,52626,16325,3
93360,52228,15964,3
93361,51895,15666,3
93362,51090,15740,3
93363,52114,15775,3
93364,50908,15812,3
93365,52076,15776,3
93366,50798,15739,3
93367,50835,15775,3
93368,49993,15666,3
93369,50614,14935,3
93370,50360,15520,3
93371,50067,15411,3
93372,49365,15320,3
93373,48345,15150,3
93374,47514,15014,3
93375,48056,15118,3
93376,48861,15374,3
93377,47252,14862,3
93378,46776,14753,3
93379,45863,14679,3
93380,46046,14643,3
93381,45278,14679,3
93382,45204,14899,3
93383,44077,14428,3
93384,44108,14899,3
93385,43086,14204,3
93386,42757,14241,3
93387,42231,13825,3
93388,42020,13981,3
93389,40343,13948,3
93390,39982,13953,3
93391,39466,13474,3
93392,39247,13509,3
93393,37346,13583,3
93394,36619,13221,3
93395,35884,13363,3
93396,35011,12965,3
93397,35084,13002,3
93398,33878,12893,3
93399,33653,12814,3
93400,32707,12855,3
93401,32049,12637,3
93402,32041,12372,3
93403,31130,12411,3
93404,31163,12298,3
93405,30513,12782,3
93406,30665,12467,3
93407,31253,12507,3
93408,31576,12648,3
93409,32159,12939,3
93410,33105,12940,3
93411,33324,12685,3
93412,34054,13159,3
93413,35551,13491,3
93414,35479,13418,3
93415,36858,13304,3
93416,37623,13741,3
93417,37483,13564,3
93418,39339,13817,3
93419,39159,14182,3
93420,40519,14079,3
93421,41376,14359,3
93422,41963,14544,3
93423,42796,14323,3
93424,42910,14544,3
93425,43525,14722,3
93426,44690,14651,3
93427,44982,14941,3
93428,45823,14727,3
93429,45675,15159,3
93430,46074,15158,3
93431,46881,15419,3
93432,47387,15121,3
93433,47171,15163,3
93434,48479,15267,3
93435,48266,15418,3
93436,48514,15667,3
93437,49067,15345,3
93438,48771,15377,3
93439,49644,15486,3
93440,49789,15596,3
93441,50194,15818,3
93442,50300,15449,3
93443,50992,16213,3
93444,50705,15599,3
93445,50997,15745,3
93446,51868,16104,3
93447,51988,15831,3
93448,52012,15886,3
93449,52523,15741,3
93450,52341,15994,3
93451,52886,16178,3
93452,52125,16218,3
93453,52489,16108,3
93454,53656,16181,3
93455,53687,16141,3
93456,53980,16249,3
93457,53765,16291,3
93458,53693,15600,3
93459,53911,16471,3
93460,53693,16326,3
93461,54566,15999,3
93462,54744,16322,3
93463,54311,16400,3
93464,54275,16036,3
93465,54128,16072,3
93466,55003,16473,3
93467,54562,16322,3
93468,54344,16250,3
93469,53870,16503,3
93470,55112,16363,3
93471,54417,16359,3
93472,55109,16249,3
93473,54380,16249,3
93474,54307,16214,3
93475,54927,16395,3
93476,54708,15995,3
93477,54676,16327,3
93478,54234,16214,3
93479,54891,16721,3
93480,54708,15958,3
93481,54417,16176,3
93482,54968,16580,3
93483,54052,16322,3
93484,54562,16141,3
93485,54744,16395,3
93486,53692,16218,3
93487,54275,16545,3
93488,54198,16395,3
93489,54198,16140,3
93490,53436,15998,3
93491,53364,15998,3
93492,53507,16141,3
93493,53729,16254,3
93494,53146,15927,3
93495,52854,16146,3
93496,52596,15885,3
93497,52637,16146,3
93498,52632,15703,3
93499,52313,15968,3
93500,52596,15850,3
93501,51868,15558,3
93502,51357,15850,3
93503,51548,15604,3
93504,50847,15558,3
93505,50304,15419,3
93506,50227,15631,3
93507,50269,15199,3
93508,49753,15740,3
93509,49539,15528,3
93510,49071,15131,3
93511,49358,15200,3
93512,48484,15309,3
93513,49212,15563,3
93514,48083,15236,3
93515,46949,15158,3
93516,46695,15195,3
93517,47281,14617,3
93518,45782,14941,3
93519,45933,14872,3
93520,45240,14763,3
93521,45236,14612,3
93522,44257,14146,3
93523,44108,14394,3
93524,43383,14473,3
93525,41922,14068,3
93526,42254,14146,3
93527,42218,14326,3
93528,40614,13855,3
93529,39809,13595,3
93530,39266,13781,3
93531,38029,13528,3
93532,37519,13271,3
93533,36936,13564,3
93534,36166,13230,3
93535,35624,12834,3
93536,34860,13126,3
93537,34053,12795,3
93538,33513,12908,3
93539,33179,12139,3
93540,32528,12434,3
93541,31721,12541,3
93542,31654,11926,3
