,CY3_Intensity,GFP_Intensity,Label
317,7601,17780,1
318,7930,18180,1
319,8112,18690,1
320,8367,19676,1
321,8372,20773,1
322,8841,20916,1
323,9098,21170,1
324,9203,21787,1
325,9462,22667,1
326,9792,22447,1
327,9535,22885,1
328,9790,23432,1
329,10337,23724,1
330,9899,23687,1
331,10046,23396,1
332,10193,24417,1
333,10406,24376,1
334,10290,24361,1
335,10447,24307,1
336,10555,24965,1
337,10484,24380,1
338,10519,25292,1
339,10560,24714,1
340,10369,25214,1
341,10520,24853,1
342,10634,24713,1
343,10555,24564,1
344,10629,25256,1
345,10446,24126,1
346,10229,25438,1
347,10519,24927,1
348,10193,24818,1
349,10369,24559,1
350,10078,24667,1
351,10119,24344,1
352,9901,24417,1
353,9868,23911,1
354,9680,23943,1
355,9901,23249,1
356,9459,23208,1
357,9312,22953,1
358,9353,22923,1
359,8878,22265,1
360,8879,22045,1
361,8733,21608,1
362,8769,21026,1
363,8190,20629,1
364,8080,20446,1
365,7822,19347,1
366,7571,18840,1
367,6904,17883,1
368,6476,17382,1
369,6307,15566,1
370,6400,15998,1
371,6405,15966,1
372,6805,16949,1
373,7242,17096,1
374,7420,17927,1
375,7388,17931,1
376,7750,18806,1
377,8440,19387,1
378,8768,20551,1
379,8986,20514,1
380,9022,21351,1
381,9604,21460,1
382,9387,22443,1
383,9678,22408,1
384,9822,23208,1
385,10077,23571,1
386,10039,23316,1
387,10253,24548,1
388,10294,24516,1
389,10730,24699,1
390,10290,24949,1
391,10804,24844,1
392,10581,25568,1
393,10259,25026,1
394,10509,25276,1
395,10803,25246,1
396,10695,25390,1
397,11058,25900,1
398,10585,25135,1
399,10585,25826,1
400,10731,25463,1
401,10798,25313,1
402,10476,25536,1
403,10407,25796,1
404,10835,25386,1
405,10731,25754,1
406,10662,25394,1
407,10481,25140,1
408,10403,25099,1
409,10768,25354,1
410,10186,25063,1
411,10472,24840,1
412,10257,24844,1
413,10289,24513,1
414,9855,24002,1
415,9678,24043,1
416,9569,24116,1
417,9387,23353,1
418,9386,23243,1
419,9132,23279,1
420,9096,22334,1
421,8981,22512,1
422,8690,21602,1
423,8513,21097,1
424,8146,20401,1
425,7752,20042,1
426,7168,19169,1
427,7206,18223,1
428,6838,17490,1
429,6324,15594,1
430,6614,16212,1
431,7043,16279,1
432,6971,16931,1
433,7048,17225,1
434,7628,17806,1
435,7917,18349,1
436,8171,19146,1
437,8532,19907,1
438,8858,20668,1
439,9107,21569,1
440,9293,21574,1
441,9397,22294,1
442,9836,23059,1
443,9764,23095,1
444,9981,23893,1
445,10592,23852,1
446,10447,24505,1
447,10338,24613,1
448,10338,24649,1
449,10343,24907,1
450,10881,25410,1
451,10778,25705,1
452,10778,25342,1
453,10737,25954,1
454,11280,25664,1
455,11031,25813,1
456,11103,25632,1
457,10991,26388,1
458,11212,26284,1
459,10918,25990,1
460,10922,26212,1
461,11031,26139,1
462,11135,25917,1
463,11356,26248,1
464,11139,26321,1
465,10959,26067,1
466,10778,26175,1
467,10918,26497,1
468,10742,26357,1
469,10596,26284,1
470,11063,26171,1
471,10773,25990,1
472,10705,25125,1
473,10602,25219,1
474,10338,24794,1
475,10271,25016,1
476,10054,25559,1
477,9796,24106,1
478,9691,23857,1
479,9799,24037,1
480,9723,23779,1
481,9470,23091,1
482,9288,22693,1
483,9112,22698,1
484,9039,22118,1
485,8714,21683,1
486,8383,21243,1
487,7989,20451,1
488,7628,19944,1
489,7121,18566,1
490,6687,17842,1
491,6518,15575,1
492,6918,16229,1
493,6846,16557,1
494,6991,17175,1
495,7391,17358,1
496,7972,18304,1
497,7828,18412,1
498,8410,19394,1
499,8591,20231,1
500,8919,21141,1
501,9281,21649,1
502,9210,22377,1
503,9537,22413,1
504,9860,23353,1
505,10009,23503,1
506,10263,24159,1
507,10373,24123,1
508,10372,24850,1
509,10555,24885,1
510,10409,25831,1
511,10481,25285,1
512,10482,25649,1
513,10991,26485,1
514,10773,26450,1
515,11137,26158,1
516,11068,25944,1
517,11283,26922,1
518,11360,26782,1
519,11210,26704,1
520,11209,26267,1
521,11354,26741,1
522,11281,26413,1
523,11505,27217,1
524,11324,27072,1
525,11678,26917,1
526,11391,26813,1
527,11422,26918,1
528,11210,26958,1
529,11172,26413,1
530,11246,26959,1
531,11177,26600,1
532,11121,26734,1
533,11355,26667,1
534,11033,26491,1
535,10954,26013,1
536,10809,25940,1
537,10991,25686,1
538,10559,25641,1
539,10487,25472,1
540,10263,25140,1
541,10445,24958,1
542,10155,24668,1
543,9936,24376,1
544,9792,23685,1
545,9863,23759,1
546,9501,23832,1
547,9686,22962,1
548,9136,22558,1
549,9063,21758,1
550,8591,21322,1
551,8155,20521,1
552,7758,19944,1
553,7249,19035,1
554,7136,18231,1
555,6741,16780,1
556,6427,15793,1
557,6758,15944,1
558,6758,16815,1
559,7198,17439,1
560,7375,18014,1
561,7847,18088,1
562,8173,18850,1
563,8610,19794,1
564,8755,20665,1
565,8937,21356,1
566,8973,21719,1
567,9662,22517,1
568,9409,22700,1
569,9809,23535,1
570,10135,24187,1
571,10284,24337,1
572,10352,24660,1
573,10498,24951,1
574,10714,25206,1
575,11079,25822,1
576,10787,26039,1
577,10823,26402,1
578,11047,26771,1
579,11300,26662,1
580,11301,26554,1
581,11296,26801,1
582,11409,27206,1
583,11228,26951,1
584,11442,27457,1
585,11478,27311,1
586,11404,27020,1
587,11441,27166,1
588,11409,27279,1
589,11810,27532,1
590,11696,27056,1
591,11660,27492,1
592,11591,27678,1
593,11300,27498,1
594,11519,26951,1
595,11441,27600,1
596,11696,26948,1
597,11409,27642,1
598,11441,27129,1
599,11188,27020,1
600,11152,26875,1
601,11295,26730,1
602,11046,26589,1
603,10928,26508,1
604,10683,25937,1
605,10720,26152,1
606,10719,25354,1
607,10279,25531,1
608,10317,24915,1
609,10243,25205,1
610,9994,24265,1
611,9884,24411,1
612,9554,23644,1
613,9589,24042,1
614,9118,23425,1
615,9049,22376,1
616,8650,22232,1
617,8500,21536,1
618,8137,20810,1
619,8028,20011,1
620,7551,19427,1
621,6722,18161,1
622,6685,16997,1
623,6323,15394,1
624,6583,16633,1
625,6909,16742,1
