,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
483,740,1360
484,731,1714
485,759,1964
486,816,2247
487,729,2481
488,796,2570
489,758,2540
490,774,2793
491,780,2868
492,794,2924
493,791,2933
494,749,2830
495,790,2686
496,736,2614
497,768,2499
498,781,2197
499,713,1903
500,751,1587
501,720,1008
502,668,1082
503,674,1392
504,695,1773
505,745,1927
506,759,2291
507,765,2456
508,817,2605
509,819,2758
510,721,2712
511,763,2825
512,757,2752
513,812,2749
514,774,2642
515,807,2396
516,775,2292
517,750,2120
518,741,1723
519,742,1237
520,681,941
521,673,862
522,726,1209
523,668,1594
524,807,1814
525,783,2010
526,738,2248
527,756,2384
528,765,2580
529,715,2431
530,789,2496
531,760,2485
532,721,2458
533,778,2380
534,729,2329
535,721,2171
536,748,1863
537,723,1364
538,702,1071
539,735,912
540,721,1223
541,761,1684
542,757,1771
543,719,1962
544,757,2139
545,767,2248
546,743,2302
547,768,2338
548,827,2351
549,749,2266
550,816,2234
551,759,2092
552,694,1845
553,717,1510
554,675,1088
555,750,929
556,713,991
557,688,1196
558,718,1470
559,735,1677
560,766,1814
561,762,2028
562,696,2064
563,739,2049
564,764,2050
565,740,1958
566,722,1831
567,737,1606
568,714,1325
569,668,1102
570,708,907
571,687,969
572,697,1049
573,736,1240
574,737,1446
575,735,1590
576,669,1635
577,744,1727
578,775,1678
579,689,1615
580,777,1521
581,676,1301
582,666,1062
583,726,889
584,733,957
585,719,1051
586,698,1065
587,719,1217
588,738,1285
589,726,1125
590,686,1081
591,715,1008
592,738,867
593,681,892
594,695,913
595,677,985
596,672,627
597,644,633
598,614,657
599,618,581
600,640,674
601,595,601
602,620,589
603,625,644
604,617,620
605,654,702
606,637,630
607,633,681
608,635,635
609,588,634
610,663,615
611,653,607
612,600,618
613,636,656
614,630,708
615,637,803
616,739,863
617,636,809
618,621,837
619,640,766
620,649,699
621,665,676
622,651,681
623,629,606
624,624,594
625,680,690
626,634,751
627,645,848
628,646,996
629,694,1056
630,664,1065
631,658,1068
632,629,987
633,642,792
634,644,769
635,638,711
636,605,637
637,620,588
638,652,756
639,660,924
640,691,1000
641,638,1159
642,712,1176
643,659,1220
644,654,1288
645,634,1064
646,634,988
647,641,864
648,682,679
649,602,645
650,638,639
651,636,619
652,629,673
653,635,814
654,611,920
655,659,1143
656,635,1268
657,632,1289
658,672,1237
659,651,1326
660,652,1272
661,691,1155
662,647,1067
663,629,786
664,643,698
665,629,606
666,631,629
667,671,718
668,616,892
669,660,974
670,691,1165
671,661,1256
672,623,1357
673,634,1331
674,701,1428
675,651,1334
676,652,1199
677,622,1062
678,629,869
679,605,656
680,652,669
681,610,621
682,661,611
683,602,768
684,654,988
685,668,1074
686,669,1269
687,661,1252
688,629,1364
689,654,1345
690,670,1358
691,662,1403
692,650,1241
693,673,1150
694,620,855
695,633,720
696,655,592
697,644,680
698,671,723
699,619,959
700,631,1074
701,672,1192
702,684,1178
703,660,1305
704,714,1393
705,660,1408
706,654,1289
707,632,1222
708,663,1075
709,691,821
710,597,703
711,685,693
712,646,596
713,656,643
714,651,878
715,654,1040
716,633,1118
717,651,1279
718,671,1196
719,656,1191
720,674,1316
721,634,1307
722,691,1173
723,641,1000
724,654,828
725,638,766
726,638,609
727,607,652
728,622,608
729,627,759
730,624,959
731,632,1087
732,617,1182
733,669,1186
734,662,1291
735,671,1193
736,725,1180
737,618,1081
738,616,895
739,634,764
740,626,705
741,658,635
742,639,631
743,653,719
744,655,824
745,619,953
746,665,1042
747,640,988
748,644,1047
749,623,1087
750,625,902
751,635,869
752,646,764
753,592,721
754,679,652
755,609,620
756,631,636
757,616,696
758,635,799
759,674,821
760,610,871
761,641,873
762,664,846
763,647,854
764,634,754
765,613,690
766,641,660
767,639,581
768,647,655
769,608,684
770,624,699
771,632,717
772,646,758
773,593,733
774,587,683
775,638,656
776,618,680
777,610,625
778,635,635
779,620,635
780,607,624
781,646,676
782,622,675
783,659,658
784,616,643
785,647,578
786,668,608
787,609,590
788,647,605
789,729,573
790,762,554
791,711,607
792,727,638
793,736,611
794,775,625
795,812,549
796,801,646
797,806,614
798,859,562
799,794,620
800,833,619
801,730,641
802,721,572
803,799,589
804,767,575
805,883,621
806,864,645
807,939,670
808,937,645
809,922,704
810,925,632
811,846,656
812,810,668
813,767,635
814,726,595
815,715,641
816,881,583
817,824,657
818,927,611
819,969,671
820,1033,674
821,1014,670
822,986,668
823,1066,712
824,1029,678
825,921,682
826,922,688
827,834,649
828,791,614
829,774,629
830,685,598
831,716,598
832,973,611
833,967,741
834,1036,698
835,997,662
836,1105,701
837,1053,728
838,1014,776
839,1105,671
840,1073,749
841,1089,648
842,971,673
843,949,678
844,940,675
845,759,612
846,798,628
847,749,625
848,885,694
849,986,638
850,966,664
851,1070,739
852,1096,717
853,1076,780
854,1158,752
855,1124,722
856,1202,696
857,1189,746
858,1123,723
859,1119,760
860,1115,722
861,926,704
862,913,656
863,767,654
864,715,619
865,735,636
866,793,616
867,907,655
868,951,670
869,1031,698
870,1078,683
871,1207,747
872,1156,703
873,1197,720
874,1221,662
875,1238,736
876,1153,774
877,1208,737
878,1248,704
879,1009,726
880,1050,734
881,988,698
882,811,628
883,774,638
884,829,658
885,827,666
886,979,639
887,1068,706
888,1109,703
889,1163,742
890,1155,712
891,1173,772
892,1309,759
893,1198,732
894,1244,755
895,1262,750
896,1247,734
897,1258,680
898,1077,731
899,1034,725
900,1058,673
901,930,680
902,796,629
903,747,648
904,803,636
905,936,652
906,1009,722
907,1088,689
908,1129,738
909,1275,756
910,1199,758
911,1238,791
912,1312,788
913,1225,735
914,1223,787
915,1280,767
916,1332,743
917,1222,744
918,1108,793
919,1181,693
920,1032,734
921,1042,624
922,900,619
923,721,628
924,721,677
925,849,615
926,951,618
927,1033,751
928,1056,696
929,1198,672
930,1192,763
931,1318,765
932,1207,710
933,1369,858
934,1320,790
935,1240,780
936,1295,723
937,1226,765
938,1180,756
939,1203,747
940,1158,750
941,1034,680
942,924,695
943,911,677
944,755,618
945,740,570
946,892,619
947,1011,613
948,1055,632
949,1086,721
950,1161,754
951,1156,711
952,1265,737
953,1248,761
954,1232,682
955,1376,770
956,1341,773
957,1346,749
958,1327,771
959,1281,782
960,1287,723
961,1087,739
962,1114,739
963,986,646
964,872,643
965,758,629
966,735,588
967,874,627
968,909,689
969,1052,689
970,1091,681
971,1137,755
972,1195,730
973,1250,701
974,1228,747
975,1305,778
976,1272,756
977,1333,789
978,1265,771
979,1254,792
980,1267,719
981,1243,748
982,1114,747
983,1148,682
984,1034,688
985,856,661
986,763,636
987,719,588
988,837,595
989,947,640
990,1055,711
991,1123,735
992,1204,737
993,1203,764
994,1267,802
995,1279,758
996,1335,819
997,1288,745
998,1309,861
999,1349,770
1000,1277,790
1001,1285,710
1002,1160,747
1003,1163,716
1004,1083,675
